,BSpace Course Name,BSpace Course Id,QuizName,﻿QuizId,QuizAttemptNumber,QuestionId,Question,QuestionType,InputUserAnswer,Score,NetId,Comment left on User Response,AnswerKey,isQuery,Database,full_score,feedback
1,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,729","Hard question. Requires use of subqueries and CASE WHEN.
We want to create groups of customers based on their total amount spent after discounts, in 2016. We will create three groups:

Low, for customers spending between 0 and 1000
Medium, for customers spending between 1000 and 5000,
High, for customers spending above 5000

The output should list the CustomerID, the CompanyName, the total amount spent before discounts, the total discount applied, and the grouping
You will need to use the results from the question &quot;Total amount spent per customer in 2016&quot; as a subquery, and then use the CASE WHEN structure to define the three groups. Do not worry about edge cases for the three groups (ie for amounts spent equal to 1000 and 5000).",Long Answer Question,"SELECT 
    A.CustomerID,
    A.CompanyName,
    A.SpendBeforeDiscount,
    (1 - (SpendafterDiscount / SpendBeforeDiscount)) AS discountApplied,
    CASE
        WHEN SpendAfterDiscount > 5000 THEN 'High'
        WHEN
            SpendAfterDiscount > 1000
                AND SpendAfterDiscount < 5000
        THEN
            'Medium'
        ELSE 'Low'
    END AS groupings
FROM
    (SELECT 
        O.CustomerID,
            C.CompanyName,
            SUM(D.Quantity * D.UnitPrice * (1 - D.Discount)) AS SpendafterDiscount,
            SUM(D.Quantity * D.UnitPrice) AS SpendBeforeDiscount
    FROM
        Orders O
    INNER JOIN OrderDetails D ON D.OrderID = O.OrderID
    INNER JOIN Customers C ON O.CustomerId = C.CustomerID
    WHERE
        YEAR(O.OrderDate) = 2016
    GROUP BY O.CustomerID , C.CompanyName) A",10.0,ab3864,Results for identical to the answer key because of incorrect subquery (from Q9); no double penalty for that.,"WITH total_spent AS (
SELECT C.CustomerID, C.CompanyName
&#160; &#160; , COALESCE(SUM(D.Quantity * D.UnitPrice ),0) AS total_price
&#160; &#160; , COALESCE(SUM(D.Quantity * D.UnitPrice * D.Discount ),0) AS total_discount
FROM&#160;
&#160; &#160; Customers C&#160;
&#160; &#160; LEFT JOIN Orders O ON C.CustomerID = O.CustomerID AND YEAR(O.OrderDate) = 2016
&#160; &#160; LEFT JOIN OrderDetails D ON O.OrderID = D.OrderID &#160;
GROUP BY C.CustomerID
)
SELECT T.*,&#160;
&#160; &#160; CASE&#160;
&#160; &#160; &#160; &#160; WHEN T.total_price-T.total_discount BETWEEN 0 AND 1000 THEN &#39;Low&#39;&#160;
&#160; &#160; &#160; &#160; WHEN T.total_price-T.total_discount BETWEEN 1000 AND 5000 THEN &#39;Medium&#39;&#160;
&#160; &#160; &#160; &#160; WHEN T.total_price-T.total_discount &gt;= 5000 THEN &#39;High&#39;&#160;
&#160; &#160; END AS TargetGroup
FROM total_spent T
ORDER BY T.total_price-T.total_discount",True,"['northwind', 'flights']",10.0,The feedback from the TA was Results for identical to the answer key because of incorrect subquery (from Q9); no double penalty for that.
3,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,713","For each order, show the customerID who placed the order, and list the number of products in the order, the total units in the order (each order may contain multiple units of a product as reported in the &quot;Quantity&quot; field or OrderDetails), and the total order price for all the products (using the Quantity and UnitPrice fields in the OrderDetails table; ignore the Discount field).&#160;
Sort the results by decreasing total price and display only orders where the total price is above 10,000.",Long Answer Question," Select O.OrderID, O.CustomerID, Count(D.ProductID) as NumProducts, Sum(D.Quantity) as TotalQuantity, sum(D.Quantity*D.UnitPrice*(1-D.Discount)) as TotalOrderPrice
From Orders O
	Inner join  OrderDetails  D on D.OrderID = O.OrderID    
Group by O.OrderID, O.CustomerId;",5.5,ab3864,"-3 pts for lack for HAVING
-1 pts for using the discount for total_price
-0.5 pts for the lack of ORDER BY
SELECT O.OrderID, O.CustomerID
&nbsp; &nbsp; , SUM(D.Quantity * D.UnitPrice) AS total_price
&nbsp; &nbsp; , COUNT(DISTINCT D.ProductID) AS num_products
&nbsp; &nbsp; , SUM(D.Quantity) AS total_units
FROM Orders O JOIN OrderDetails D ON O.OrderID = D.OrderID
GROUP BY O.OrderID
HAVING total_price &gt; 10000
ORDER BY total_price DESC","SELECT O.OrderID, O.CustomerID
&#160; &#160; , SUM(D.Quantity * D.UnitPrice) AS total_price
&#160; &#160; , COUNT(DISTINCT D.ProductID) AS num_products
&#160; &#160; , SUM(D.Quantity) AS total_units
FROM Orders O JOIN OrderDetails D ON O.OrderID = D.OrderID
GROUP BY O.OrderID
HAVING total_price &gt; 10000
ORDER BY total_price DESC",True,"['northwind', 'flights']",10.0,"The feedback from the TA was -3 pts for lack for HAVING
-1 pts for using the discount for total_price
-0.5 pts for the lack of ORDER BY
SELECT O.OrderID, O.CustomerID
&nbsp; &nbsp; , SUM(D.Quantity * D.UnitPrice) AS total_price
&nbsp; &nbsp; , COUNT(DISTINCT D.ProductID) AS num_products
&nbsp; &nbsp; , SUM(D.Quantity) AS total_units
FROM Orders O JOIN OrderDetails D ON O.OrderID = D.OrderID
GROUP BY O.OrderID
HAVING total_price &gt; 10000
ORDER BY total_price DESC"
4,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,711","We want to identify the ship countries with the highest average freight charges. Return the top-three ship countries with the highest average freight overall, in descending order by average freight. You only need the Orders table.",Long Answer Question,"use northwind;
SELECT 
    ShipCountry, AVG(Freight)
FROM
    Orders O
GROUP BY ShipCountry
ORDER BY AVG(Freight) DESC
LIMIT = 3;

",7.0,ab3864,"It is ""LIMIT 3"" not ""LIMIT = 3""","SELECT ShipCountry, ROUND(AVG(Freight),2) AS AvgFreight
FROM &#160;Orders
GROUP BY ShipCountry
ORDER BY AvgFreight DESC
LIMIT 3",True,"['northwind', 'flights']",7.5,"The feedback from the TA was It is ""LIMIT 3"" not ""LIMIT = 3"""
5,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,710",For every customer in the database list the number of orders they have placed.,Long Answer Question,"Select C.CompanyName, C.CustomerID, sum(case when O.OrderId is null then 0 else 1 end) as numOrders
from Customers C
	left join Orders O on O.CustomerID = C.CustomerID
Group BY C.CompanyName, C.CustomerID
order by numOrders asc;",10.0,ab3864,,"SELECT C.CustomerID, COUNT(O.OrderID) AS orders
FROM Customers C
&#160; &#160; &#160; &#160; &#160; &#160; LEFT JOIN Orders O ON O.CustomerID = C.CustomerID
GROUP BY C.CustomerID&#160;",True,"['northwind', 'flights']",10.0,
6,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,709",Show the date/time of the first order ever date in the Orders table,Long Answer Question,"use northwind;
SELECT 
    min(OrderDate) as FirstOrderDate
FROM
    Orders O;

",7.5,ab3864,,"SELECT MIN(OrderDate) AS earliestOrderDate
FROM Orders",True,"['northwind', 'flights']",7.5,
7,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,708","We would like to know, for each product, the associated Supplier. Show the ProductID, ProductName, and the CompanyName of the Supplier. Sort the results by ProductID.",Long Answer Question,"use northwind;
SELECT 
    P.ProductID, P.ProductName, S.CompanyName
FROM
    Products P
        INNER JOIN
    Suppliers S ON S.SupplierID = P.SupplierID
ORDER BY P.ProductID DESC;
",7.5,ab3864,,"SELECT P.ProductID, P.ProductName, S.CompanyName
FROM Products P JOIN Suppliers S ON P.SupplierID = S.SupplierID
ORDER BY P.ProductID",True,"['northwind', 'flights']",7.5,
8,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,707","From the Products table, we want to see the ProductID and ProductName for those products where the ProductName includes the string &quot;queso&quot;",Long Answer Question,"SELECT 
    ProductID, ProductName
FROM
    Products
WHERE
    ProductName LIKE '%queso%';",5.0,ab3864,,"SELECT ProductID, ProductName
FROM Products&#160;
WHERE ProductName LIKE &#39;%queso%&#39;",True,"['northwind', 'flights']",5.0,
9,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,706","We would like to see just the FirstName, LastName, and HireDate of all the employees with the title of Sales Representative who are also in the United States",Long Answer Question,"use northwind;
SELECT 
    E.FirstName, E.LastName, E.HireDate
FROM
    Employees E
WHERE
    E.Title = 'Sales Representative'
        AND E.country = 'USA';",5.0,ab3864,,"SELECT FirstName, LastName, HireDate
FROM Employees&#160;
WHERE Title = &#39;Sales Representative&#39; AND Country = &#39;USA&#39;",True,"['northwind', 'flights']",5.0,
10,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,705","We would like to see, for each shipper, the number of orders they have handled and the number of distinct days that they came to the warehouse to pick the orders (according to the the ShippedDate column in Orders). Show the ShipperID, the CompanyName of the shipper, the number of orders the shipper handled, and the number of distinct days that each shipper came to the warehouse.",Long Answer Question,"select A.*,B.distinctDays FROM 
(Select S.ShipperID, S.CompanyName, count(*) as NumberOrders
from Orders O inner join Shippers S on O.ShipVia = S.ShipperID
group by S.ShipperID, S.CompanyName) A
inner join (
select ShipperID, count(*) as distinctDays from (
Select distinct S.ShipperId, date(ShippedDate)
from Orders O inner join Shippers S on O.ShipVia = S.ShipperID ) B 
group by B.ShipperID) B
ON A.ShipperID = B.ShipperID;",6.0,ab3864,"Correct answer:
SELECT S.ShipperID, S.CompanyName
&nbsp; &nbsp; , COUNT(O.OrderID) AS orders
&nbsp; &nbsp; , COUNT(DISTINCT O.ShippedDate ) AS dates
FROM Orders O&nbsp;
&nbsp; &nbsp; JOIN Shippers S ON O.ShipVia = S.ShipperID
GROUP BY S.ShipperID;



1
Speedy Express
249
188


2
United Package
326
215


3
Federal Shipping
255
198


","SELECT S.ShipperID, S.CompanyName
&#160; &#160; , COUNT(O.OrderID) AS orders
&#160; &#160; , COUNT(DISTINCT O.ShippedDate ) AS dates
FROM Orders O&#160;
&#160; &#160; JOIN Shippers S ON O.ShipVia = S.ShipperID
GROUP BY S.ShipperID;",True,"['northwind', 'flights']",7.5,"The feedback from the TA was Correct answer:
SELECT S.ShipperID, S.CompanyName
&nbsp; &nbsp; , COUNT(O.OrderID) AS orders
&nbsp; &nbsp; , COUNT(DISTINCT O.ShippedDate ) AS dates
FROM Orders O&nbsp;
&nbsp; &nbsp; JOIN Shippers S ON O.ShipVia = S.ShipperID
GROUP BY S.ShipperID;



1
Speedy Express
249
188


2
United Package
326
215


3
Federal Shipping
255
198


"
21,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,711","We want to identify the ship countries with the highest average freight charges. Return the top-three ship countries with the highest average freight overall, in descending order by average freight. You only need the Orders table.",Long Answer Question,"SELECT AVG(Freight)
FROM Orders;

SELECT AVG(Freight), ShipCountry
FROM Orders
GROUP BY ShipCountry;

SELECT AVG(Freight), ShipCountry
FROM Orders
GROUP BY ShipCountry
ORDER BY AVG(Freight) DESC;

*ANSWER *
SELECT AVG(Freight), ShipCountry
FROM Orders
GROUP BY ShipCountry
ORDER BY AVG(Freight) DESC
LIMIT 3;",7.5,acm576,,"SELECT ShipCountry, ROUND(AVG(Freight),2) AS AvgFreight
FROM &#160;Orders
GROUP BY ShipCountry
ORDER BY AvgFreight DESC
LIMIT 3",True,"['northwind', 'flights']",7.5,
